kernel,hosted_paravirtual,m4_original_source,m4_fixed_owner
mr_articulated_aba_step,True,True,True
mr_articulated_aba_step_small,True,True,True
mr_articulated_operator,True,True,True
mr_commit_compiled_multicopters,True,True,True
mr_discrete_elastic_rod_step,True,True,True
mr_locomotion_task_apply_actions,True,True,True
mr_locomotion_task_apply_native_actuators,True,True,True
mr_locomotion_task_complete,True,True,True
mr_locomotion_task_joint_cbf_teacher,True,True,True
mr_locomotion_task_latch_impact_contact,True,True,True
mr_locomotion_task_measure_effort,True,True,True
mr_locomotion_task_motion_features,True,True,True
mr_locomotion_task_observe,True,True,True
mr_locomotion_task_select_threat_query,True,True,True
mr_locomotion_task_update_evidence,True,True,True
mr_metal_world_capture,True,True,True
mr_metal_world_commit,True,True,True
mr_metal_world_prepare,True,True,True
mr_metal_world_refresh_drives,True,True,True
mr_multi_articulated_aba_step,True,True,True
mr_parameterized_articulated_aba_step,True,True,True
mr_parameterized_articulated_operator,True,True,True
mr_policy_dense_layer,True,True,True
mr_policy_sample_and_score,True,True,True
mr_rod_tool_narrowphase,False,True,True
mr_step_compiled_multicopters,True,True,True
mr_unified_quality_solve_queued,True,True,True
mr_world_apply_unified_quality,True,True,True
mr_world_build_body_states,True,True,True
mr_world_build_contact_islands,True,True,True
mr_world_build_contact_tiles,True,True,True
mr_world_build_unified_quality_queue,True,True,True
mr_world_capture_contact,True,True,True
mr_world_collide_compile,True,True,True
mr_world_commit_contact_state,True,True,True
mr_world_commit_rod_contact_cache,True,True,True
mr_world_commit_rod_state,True,True,True
mr_world_compose_multi_articulation_operator,True,True,True
mr_world_evaluate_constraint_ir,True,True,True
mr_world_factor_rod_operator,True,True,True
mr_world_fill_point_query_tail,True,True,True
mr_world_finalize_ccd_event_state,True,True,True
mr_world_finalize_factor_dispatch,True,True,True
mr_world_finalize_pair_manifold,True,True,True
mr_world_flag_distributed_islands,True,True,True
mr_world_flag_distributed_tiles,True,True,True
mr_world_flag_eligible_pairs,True,True,True
mr_world_flag_pair_work_class,True,True,True
mr_world_initialize_ccd_event_state,True,True,True
mr_world_initialize_multi_articulation_queries,True,True,True
mr_world_initialize_rod_event_state,True,True,True
mr_world_integrate_contact_state,True,True,True
mr_world_latch_contact_status,True,True,True
mr_world_latch_rod_contact_status,True,True,True
mr_world_latch_rod_status,True,True,True
mr_world_materialize_event_articulation,True,True,True
mr_world_narrowphase_convex_queue,True,True,True
mr_world_narrowphase_hull_queue,True,True,True
mr_world_narrowphase_mesh_queue,True,True,True
mr_world_narrowphase_pair_queue,True,True,True
mr_world_overlay_event_articulation_bodies,True,True,True
mr_world_pack_rod_state,True,True,True
mr_world_parallel_streaming_articulated_inverse_mass,True,True,True
mr_world_predict_scene,True,True,True
mr_world_predict_scene_event,True,True,True
mr_world_prepare_ccd_event_pass,True,True,True
mr_world_prepare_contact_step,True,True,True
mr_world_prepare_rod_contact_cache,True,True,True
mr_world_prepare_rod_state,True,True,True
mr_world_prepare_unified_quality,True,True,True
mr_world_project_colliders,True,True,True
mr_world_project_event_colliders,True,True,True
mr_world_project_joint_limits,True,True,True
mr_world_project_swept_colliders,True,True,True
mr_world_project_swept_rod_colliders,True,True,True
mr_world_publish_convex_cache,True,True,True
mr_world_publish_event_segment,True,True,True
mr_world_publish_rod_event_segment,True,True,True
mr_world_publish_unified_quality_queue_status,True,True,True
mr_world_reconstruct_unified_quality_warm_start,True,True,True
mr_world_reduce_wave32_status,True,True,True
mr_world_resolve_ccd,False,True,True
mr_world_resolve_rod_ccd,False,True,True
mr_world_restore_inactive_event_candidate,False,True,True
mr_world_restore_inactive_rod_event_candidate,False,True,True
mr_world_scan_add_block_offsets,False,True,True
mr_world_scan_blocks,False,True,True
mr_world_scan_manifold_ir,False,True,True
mr_world_scan_rod_contact_ir,False,True,True
mr_world_scatter_distributed_island_queue,False,True,True
mr_world_scatter_distributed_tile_queue,False,True,True
mr_world_scatter_island_queue,False,True,True
mr_world_scatter_manifold_ir,False,True,True
mr_world_scatter_manifold_records,False,True,True
mr_world_scatter_pair_queue,False,True,True
mr_world_scatter_rod_contact_ir,False,True,True
mr_world_seed_authored_constraint_ir,False,True,True
mr_world_select_ccd_event_state,False,True,True
mr_world_select_observation_state,False,True,True
mr_world_select_solver_cohort,False,True,True
mr_world_solve_contact_islands,False,True,True
mr_world_solve_generalized_constraints,False,True,True
mr_world_solve_rod_contact_constraints,False,True,True
mr_world_tag_rod_ccd_witnesses,False,True,True
mr_world_unpack_rod_state,False,True,True
mr_world_wave32_distributed_delta,False,True,True
mr_world_wave32_distributed_prepare,False,True,True
mr_world_wave32_distributed_reduce,False,True,True
mr_world_wave32_solve,False,True,True
